"pump","apportionment","method","analytical","primary.spatial","primary.magnitude","overall.spatial","overall.magnitude"
"Transient","AdjacentOnly","Qf.WebSq","hunt",0.767144418021724,0.112499603810908,-1.6319607386685,0.195700533130785
"Transient","LocalArea","Qf.WebSq","hunt",0.76685519634938,0.100665234440838,-0.243695377990624,0.248484724192231
"Transient","WholeDomain","Qf.WebSq","hunt",0.766116074297834,0.105152935267513,-0.148767470598318,0.27850234128595
"Transient","Dynamic","Qf.WebSq","hunt",0.76175326970661,0.108096319877374,-0.63212046056605,0.203559691783999
"Transient","Adjacent+Dynamic","Qf.Web","hunt",0.78198001349571,0.0915007903684183,-0.0582229620227575,0.244123632898434
"Transient","Adjacent+Dynamic","Qf.WebSq","glover",0.767208689504467,0.115363855795765,-0.584091750379851,0.207368677392782
"Transient","Adjacent+Dynamic","Qf.WebSq","hunt",0.767102599530863,0.104117347285051,-0.517745910073702,0.209644398867354
"Transient","Adjacent+Dynamic","Qf.InvDist","hunt",0.644418021723761,0.106653226420114,-0.0042955689558748,0.25176278804768
"Transient","Adjacent+Dynamic","Qf.InvDistSq","hunt",0.638151552156308,0.122709207078233,-0.456836897662436,0.213328963184503
"Transient","Adjacent+Dynamic","Qf.TPoly","hunt",0.599466598117027,0.113714730285672,-1.66650967567273,0.199188574627314
"Intermittent","AdjacentOnly","Qf.WebSq","hunt",0.868321093947835,0.0571644564626542,-1.20586791361603,0.114945885068254
"Intermittent","LocalArea","Qf.WebSq","hunt",0.868321093947835,0.0518050749561701,-0.221277947120661,0.141538545378972
"Intermittent","WholeDomain","Qf.WebSq","hunt",0.868270448214738,0.053285336968149,-0.134104668492939,0.157810237044467
"Intermittent","Dynamic","Qf.WebSq","hunt",0.870043048873132,0.0557191287059269,-0.514297707874298,0.117262156710907
"Intermittent","Adjacent+Dynamic","Qf.Web","hunt",0.877145895579075,0.044943691013212,-0.00326856514821094,0.136609239305601
"Intermittent","Adjacent+Dynamic","Qf.WebSq","glover",0.87279080366638,0.0589883732247815,-0.489422797222328,0.125087976737665
"Intermittent","Adjacent+Dynamic","Qf.WebSq","hunt",0.86975236744822,0.0532100421983736,-0.41966726376096,0.120487778106964
"Intermittent","Adjacent+Dynamic","Qf.InvDist","hunt",0.790979042219297,0.0524312114364152,0.0356358372766576,0.141340749601108
"Intermittent","Adjacent+Dynamic","Qf.InvDistSq","hunt",0.781204111600587,0.060984943031223,-0.390034286150266,0.123512135127679
"Intermittent","Adjacent+Dynamic","Qf.TPoly","hunt",0.704395827002937,0.0572305896279376,-1.28237470652595,0.114811069566723
