stream_BC,method,apportionment,n.reach,cor,bias,R2,MSE.bias,MSE.var,MSE.cor,MSE.bias.norm,MSE.var.norm,MSE.cor.norm,MSE.overall,KGE.overall
RIV,f.InvDist,AdjacentOnly,53446,0.781574724907408,1,0.610859050614091,2.21925201762569e-08,0.00028521636001045,0.000906975707111784,1.86145401271356e-05,0.239232468244422,0.760748917215451,0.00119221425964241,0.516688959447743
RIV,f.InvDist,LocalArea,65270,0.780577596784798,1,0.609301384602329,1.48769840303342e-08,0.000220696761280168,0.000303363363197406,2.83871277753059e-05,0.421116749825239,0.578854863046985,0.000524075001461604,0.514195112508263
RIV,f.InvDist,WholeDomain,269813,0.784154813280315,-10.4,0.614898771190686,8.94959957972414e-08,0.000167606376197949,3.76787635734401e-05,0.000435769468137703,0.816100661952961,0.183463568578901,0.000205374635767187,0.265836502709048
RIV,f.InvDistSq,AdjacentOnly,53438,0.785058720628847,1,0.616317194835402,2.21766427496516e-08,0.00106807173890475,0.00114990754073475,9.99847979668305e-06,0.481546906057952,0.518443095462251,0.00221800145628224,0.129490088048153
RIV,f.InvDistSq,LocalArea,62133,0.802920120987792,0.8,0.644680720687051,1.08823549706988e-08,0.000176172926236626,0.000682776319826714,1.26692201543017e-05,0.205100237377759,0.794887093402087,0.00085896012841831,0.587347444775344
RIV,f.InvDistSq,WholeDomain,84393,0.795293500099428,-9.5,0.632491751300399,7.62940179863744e-07,5.49451784900354e-05,0.000486541989460195,0.00140698944716614,0.101328109789612,0.897264900763222,0.000542250108130094,0.567620595942696
RIV,f.Web,AdjacentOnly,53446,0.830681391478863,1,0.69003157414926,2.2189454221163e-08,0.000463573374617904,0.000762645199428454,1.80955118127195e-05,0.37804433551412,0.621937568974067,0.00122624076350058,0.422257233819957
RIV,f.Web,LocalArea,63206,0.847746393522004,0.9,0.718673947729565,1.16997220447812e-08,0.00016713269751642,0.000239495255758783,2.87717195274617e-05,0.411009345213933,0.58896188306654,0.000406639652997248,0.597653738521362
RIV,f.Web,WholeDomain,205543,0.853420325702132,-9.5,0.728326252321533,1.3098673590022e-07,0.000236776101092613,2.96401996118005e-05,0.000491420254762677,0.888308049826366,0.111200529918871,0.000266547287440314,0.249131173005314
RIV,f.WebSq,AdjacentOnly,53425,0.842747866686362,1,0.710223966804414,2.21432950290669e-08,0.00118776971672587,0.000862662815928814,1.07992121400151e-05,0.57927138339487,0.42071781739299,0.00205045467594971,0.0961745169213282
RIV,f.WebSq,LocalArea,58751,0.886601098816162,0.6,0.786061508422026,7.35751409026091e-09,0.000154574209515399,0.000402862630593674,1.31986557966375e-05,0.277290911223894,0.72269589012031,0.000557444197623164,0.648095852847659
RIV,f.WebSq,WholeDomain,89909,0.879035479234939,-8.7,0.772703373753799,5.66460226391329e-07,1.32867856942952e-05,0.000245459019213448,0.00218447139821294,0.0512385547495114,0.946576973852276,0.000259312265134135,0.727822772128226
RIV,f.TPoly,AdjacentOnly,53406,0.735193019582555,1,0.540508776042915,2.21346990528637e-08,0.00112944425956615,0.00143582626830251,8.62852779951748e-06,0.44027891088093,0.559712460591271,0.00256529266256771,0.0929433457770191
RIV,f.TPoly,LocalArea,53406,0.735189071259347,1,0.540502970499181,2.2134643337307e-08,0.00112956607724469,0.00143588406336108,8.62790198547663e-06,0.440295569803033,0.559695802294981,0.0025654722752491,0.0928969103709052
RIV,f.TPoly,WholeDomain,53406,0.735193019582556,1,0.540508776042917,2.21346990528642e-08,0.00112944425956615,0.0014358262683025,8.62852779951771e-06,0.44027891088093,0.559712460591271,0.0025652926625677,0.0929433457770212
SFR,f.InvDist,AdjacentOnly,44346,0.666919775732881,-2.8,0.444781987263597,2.54048993869286e-07,0.000402888593327711,0.00157576246040718,0.000128378563236292,0.203591669338847,0.796279952097917,0.00197890510272876,0.356970578830445
SFR,f.InvDist,LocalArea,65087,0.670176480737947,-2.8,0.4491365153343,1.17942867700124e-07,0.000192756888071642,0.000443866724442888,0.000185228789770637,0.302723901781363,0.697090869428867,0.00063674155538223,0.485360434450662
SFR,f.InvDist,WholeDomain,269870,0.695965397035019,-13.7,0.484367833870112,1.69117016998204e-07,0.000157150559107235,5.18465496586587e-05,0.000808529275532955,0.751318997696848,0.247872473027619,0.000209166225782892,0.247381897641084
SFR,f.InvDistSq,AdjacentOnly,44325,0.67379589285838,-2.8,0.454000905232821,2.54546952191698e-07,0.00140757267849851,0.0019947857089088,7.48092589730936e-05,0.413674051575152,0.586251139165875,0.00340261293435951,-0.0540956431278665
SFR,f.InvDistSq,LocalArea,60988,0.693015928993841,-3,0.480271077839197,1.58953451562681e-07,0.000208989915819025,0.00104997737283702,0.000126241075951698,0.16598011289893,0.833893646025119,0.0012591262421076,0.446290336187632
SFR,f.InvDistSq,WholeDomain,85800,0.690847659818483,-12.8,0.477270489076674,1.45817969026336e-06,6.66574167938232e-05,0.000704184309726405,0.00188810030732534,0.0863102743607683,0.911801625331906,0.000772299906210492,0.43131075146348
SFR,f.Web,AdjacentOnly,44346,0.730453776479828,-2.8,0.533562719573642,2.54061496526242e-07,0.000635230958873521,0.00138481023981509,0.000125754636727188,0.314424812745098,0.685449432618175,0.00202029526018513,0.265649004973098
SFR,f.Web,LocalArea,62875,0.769379738799422,-2.9,0.591945182475067,1.40694915090119e-07,0.000142677850272348,0.000353724437676796,0.000283348914284402,0.287342395716343,0.712374255369373,0.000496542982864235,0.597441600673339
SFR,f.Web,WholeDomain,205744,0.797831824629719,-12.9,0.636535620391986,2.58581402046528e-07,0.000222080283902673,3.98909167405825e-05,0.000986087087552309,0.846891921163657,0.152121991748791,0.000262229782045302,0.247737590193502
SFR,f.WebSq,AdjacentOnly,44310,0.737207591504145,-2.8,0.543475032971342,2.54980450864506e-07,0.00155915024911876,0.00164834616492019,7.94888442110898e-05,0.486057071566401,0.513863439589388,0.00320775139448981,-0.0855939708189393
SFR,f.WebSq,LocalArea,57642,0.782529833835473,-3.2,0.612352940842572,2.01400510040368e-07,0.000186536828934117,0.00076253611026648,0.000212162597907955,0.196504657432306,0.803283179969786,0.000949274339710638,0.517627272229738
SFR,f.WebSq,WholeDomain,91208,0.780635102195278,-12.1,0.609391162779432,1.14885491755801e-06,1.93809687583273e-05,0.000427627880245193,0.00256350589871891,0.0432458676683606,0.954190626432921,0.000448157703921079,0.60189853829163
SFR,f.TPoly,AdjacentOnly,44239,0.624688450124402,-2.8,0.390235659718828,2.56022995001511e-07,0.00148753052223112,0.00232902940063915,6.7077637128104e-05,0.389730745031745,0.610202177331126,0.00381681594586527,-0.0952157748840916
SFR,f.TPoly,LocalArea,44239,0.624683748566744,-2.8,0.390229785723399,2.56022995001511e-07,0.00148768480303141,0.00232911812100583,6.70733668392964e-05,0.389746352800782,0.610186573832379,0.00381705894703223,-0.0952660895252517
SFR,f.TPoly,WholeDomain,44239,0.624688450124402,-2.8,0.390235659718827,2.56022995001508e-07,0.00148753052223112,0.00232902940063915,6.70776371281029e-05,0.389730745031746,0.610202177331126,0.00381681594586528,-0.0952157748840934
