year,month,depletion_m3d_Mill,WaterUser
1,1,0.3590416,Cannabis
1,2,0.5608752,Cannabis
1,3,0.7243934,Cannabis
1,4,1.1188821,Cannabis
1,5,1.9271816,Cannabis
1,6,3.3930474,Cannabis
1,7,4.7177682,Cannabis
1,8,5.9125988,Cannabis
1,9,6.2942903,Cannabis
1,10,5.6237503,Cannabis
1,11,4.2278644,Cannabis
1,12,3.339454,Cannabis
2,1,2.8466822,Cannabis
2,2,2.6132899,Cannabis
2,3,2.5195758,Cannabis
2,4,2.7142341,Cannabis
2,5,3.3687079,Cannabis
2,6,4.7150556,Cannabis
2,7,5.9422414,Cannabis
2,8,7.0552814,Cannabis
2,9,7.3850168,Cannabis
2,10,6.6612276,Cannabis
2,11,5.2165016,Cannabis
2,12,4.2852089,Cannabis
3,1,3.7560272,Cannabis
3,2,3.4875325,Cannabis
3,3,3.3607904,Cannabis
3,4,3.5258625,Cannabis
3,5,4.1554514,Cannabis
3,6,5.4742016,Cannabis
3,7,6.6797384,Cannabis
3,8,7.7697067,Cannabis
3,9,8.0718797,Cannabis
3,10,7.3257329,Cannabis
3,11,5.8643532,Cannabis
3,12,4.9172367999999995,Cannabis
4,1,4.3734654,Cannabis
4,2,4.0895792,Cannabis
4,3,3.9497369,Cannabis
4,4,4.0961387,Cannabis
4,5,4.713431,Cannabis
4,6,6.0221146,Cannabis
4,7,7.2153868,Cannabis
4,8,8.2954389,Cannabis
4,9,8.5739681,Cannabis
4,10,7.7914805,Cannabis
4,11,6.3198638,Cannabis
4,12,5.3690711,Cannabis
5,1,4.8194076,Cannabis
5,2,4.5316334,Cannabis
5,3,4.3809525,Cannabis
5,4,4.5223128,Cannabis
5,5,5.1225218,Cannabis
5,6,6.4224661,Cannabis
5,7,7.604717,Cannabis
5,8,8.6734285,Cannabis
5,9,8.9464963,Cannabis
5,10,8.1818283,Cannabis
5,11,6.6959676,Cannabis
5,12,5.7203246,Cannabis
10,1,6.2093673,Cannabis
10,2,5.9111782,Cannabis
10,3,5.7573661,Cannabis
10,4,5.8894325,Cannabis
10,5,6.4840334,Cannabis
10,6,7.7636924,Cannabis
10,7,8.9241143,Cannabis
10,8,9.9684195,Cannabis
10,9,10.2266511,Cannabis
10,10,9.4417321,Cannabis
10,11,7.9480397,Cannabis
10,12,6.9800293,Cannabis
15,1,7.0851105,Cannabis
15,2,6.7842777,Cannabis
15,3,6.6269143999999995,Cannabis
15,4,6.7558816,Cannabis
15,5,7.3481271,Cannabis
15,6,8.6224206,Cannabis
15,7,9.773703,Cannabis
15,8,10.808235700000001,Cannabis
15,9,11.0563462,Cannabis
15,10,10.2642122,Cannabis
15,11,8.7679387,Cannabis
15,12,7.8003007,Cannabis
20,1,7.7558096,Cannabis
20,2,7.452893,Cannabis
20,3,7.2927404,Cannabis
20,4,7.418557,Cannabis
20,5,8.0062328,Cannabis
20,6,9.276943,Cannabis
20,7,10.4242806,Cannabis
20,8,11.455786,Cannabis
20,9,11.7019318,Cannabis
20,10,10.9058596,Cannabis
20,11,9.4067484,Cannabis
20,12,8.4371562,Cannabis
30,1,8.7124601,Cannabis
30,2,8.4062438,Cannabis
30,3,8.242746,Cannabis
30,4,8.3652197,Cannabis
30,5,8.9516669,Cannabis
30,6,10.2189023,Cannabis
30,7,11.363017600000001,Cannabis
30,8,12.3910765,Cannabis
30,9,12.6337791,Cannabis
30,10,11.8347753,Cannabis
30,11,10.3322981,Cannabis
30,12,9.3594059,Cannabis
50,1,9.8861994,Cannabis
50,2,9.5771575,Cannabis
50,3,9.4109412,Cannabis
50,4,9.5305189,Cannabis
50,5,10.114179,Cannabis
50,6,11.3785447,Cannabis
50,7,12.5198961,Cannabis
50,8,13.5451129,Cannabis
50,9,13.7849819,Cannabis
50,10,12.9832499,Cannabis
50,11,11.4779679,Cannabis
50,12,10.5023708,Cannabis
1,1,4.8684642,Residential
1,2,6.4264789,Residential
1,3,7.7830386,Residential
1,4,9.5828496,Residential
1,5,13.4003324,Residential
1,6,17.1869246,Residential
1,7,19.6440086,Residential
1,8,21.0759744,Residential
1,9,21.615443,Residential
1,10,21.0003646,Residential
1,11,18.7146933,Residential
1,12,17.1497131,Residential
2,1,16.5872049,Residential
2,2,16.5370249,Residential
2,3,17.0377713,Residential
2,4,18.1464638,Residential
2,5,21.4604589,Residential
2,6,24.7805079,Residential
2,7,26.8204399,Residential
2,8,27.919375,Residential
2,9,28.1432073,Residential
2,10,27.2544638,Residential
2,11,24.7246557,Residential
2,12,22.9413369,Residential
3,1,22.1639624,Residential
3,2,21.9320379,Residential
3,3,22.2463785,Residential
3,4,23.1778466,Residential
3,5,26.3170361,Residential
3,6,29.4644108,Residential
3,7,31.365296999999998,Residential
3,8,32.3227929,Residential
3,9,32.4215207,Residential
3,10,31.3923281,Residential
3,11,28.757414,Residential
3,12,26.8644225,Residential
4,1,25.9895774,Residential
4,2,25.6624499,Residential
4,3,25.8915416,Residential
4,4,26.7234882,Residential
4,5,29.7875084,Residential
4,6,32.8652983,Residential
4,7,34.6957125,Residential
4,8,35.5530792,Residential
4,9,35.5452046,Residential
4,10,34.458862,Residential
4,11,31.7600523,Residential
4,12,29.8007655,Residential
5,1,28.8223592,Residential
5,2,28.4445792,Residential
5,3,28.6302215,Residential
5,4,29.4245483,Residential
5,5,32.4159382,Residential
5,6,35.4310195,Residential
5,7,37.1966436,Residential
5,8,37.9899995,Residential
5,9,37.9533887,Residential
5,10,36.809084,Residential
5,11,34.0684993,Residential
5,12,32.0557928,Residential
10,1,36.9333319,Residential
10,2,36.442509199999996,Residential
10,3,36.519247,Residential
10,4,37.2026837,Residential
10,5,40.1327796,Residential
10,6,43.0482142,Residential
10,7,44.7193112,Residential
10,8,45.4249556,Residential
10,9,45.2573623,Residential
10,10,44.0287395,Residential
10,11,41.1987905,Residential
10,12,39.0995353,Residential
15,1,41.5334994,Residential
15,2,41.007278,Residential
15,3,41.0729212,Residential
15,4,41.7223936,Residential
15,5,44.6096682,Residential
15,6,47.4856099,Residential
15,7,49.1184375,Residential
15,8,49.7995675,Residential
15,9,49.6149178,Residential
15,10,48.3485533,Residential
15,11,45.4841751,Residential
15,12,43.3673626,Residential
20,1,44.7596379,Residential
20,2,44.2256879,Residential
20,3,44.2752098,Residential
20,4,44.9214777,Residential
20,5,47.7953412,Residential
20,6,50.6656486,Residential
20,7,52.2781732,Residential
20,8,52.9374829,Residential
20,9,52.7329994,Residential
20,10,51.4525762,Residential
20,11,48.5657323,Residential
20,12,46.4325366,Residential
30,1,49.4469607,Residential
30,2,48.8985347,Residential
30,3,48.9316407,Residential
30,4,49.5593158,Residential
30,5,52.417518199999996,Residential
30,6,55.2673552,Residential
30,7,56.872234,Residential
30,8,57.5143569,Residential
30,9,57.3013902,Residential
30,10,56.002344,Residential
30,11,53.1038635,Residential
30,12,50.9567904,Residential
50,1,55.4536908,Residential
50,2,54.8911043,Residential
50,3,54.9119019,Residential
50,4,55.5259866,Residential
50,5,58.371739,Residential
50,6,61.2089558,Residential
50,7,62.7997829,Residential
50,8,63.4289045,Residential
50,9,63.201959,Residential
50,10,61.8891005,Residential
50,11,58.9764417,Residential
50,12,56.8158369,Residential
